seq.1.36.,depth_range,dawn,dusk,dawn_t,dusk_t,dawn_num,dusk_num,noon_num,noon_t,noon_hour,average,estimated_long,,Equation of Time calculation,,,
11,430.4-439.5,6/02/2020 7:40,6/02/2020 18:10,6/02/2020 7:40,6/02/2020 18:10,1580974800,1581012600,1580993700,6/02/2020 12:55,12:55,12:55,-10.2375,,,,,
12,532.0-534.4,6/02/2020 8:00,6/02/2020 17:55,6/02/2020 8:00,6/02/2020 17:55,1580976000,1581011700,1580993850,6/02/2020 12:57,12:57,,,,,,,
13,468.4-470.8,7/02/2020 7:20,7/02/2020 19:00,7/02/2020 7:20,7/02/2020 19:00,1581060000,1581102000,1581081000,7/02/2020 13:10,13:10,,,,,,,
14,529.3-533.9,7/02/2020 8:00,7/02/2020 18:45,7/02/2020 8:00,7/02/2020 18:45,1581062400,1581101100,1581081750,7/02/2020 13:22,13:22,13:06,-12.97083333,,,,,
15,550.8-552.7,7/02/2020 8:05,7/02/2020 17:30,7/02/2020 8:05,7/02/2020 17:30,1581062700,1581096600,1581079650,7/02/2020 12:47,12:47,,,,,,,
16,407.5-415.7,8/02/2020 7:25,8/02/2020 18:20,8/02/2020 7:25,8/02/2020 18:20,1581146700,1581186000,1581166350,8/02/2020 12:52,12:57,,,,,,,
17,422.7-436.4,8/02/2020 7:30,8/02/2020 18:05,8/02/2020 7:30,8/02/2020 18:05,1581147000,1581185100,1581166050,8/02/2020 12:47,12:47,12:42,-6.958333333,,,,,
18,573.1-574.0,8/02/2020 8:00,8/02/2020 16:45,8/02/2020 8:00,8/02/2020 16:45,1581148800,1581180300,1581164550,8/02/2020 12:22,12:22,,,,,,,
19,288.8-296.0,9/02/2020 6:30,9/02/2020 18:30,9/02/2020 6:30,9/02/2020 18:30,1581229800,1581273000,1581251400,9/02/2020 12:30,12:30,,,,,,,
20,325.9-328.2,9/02/2020 6:35,9/02/2020 18:25,9/02/2020 6:35,9/02/2020 18:25,1581230100,1581272700,1581251400,9/02/2020 12:30,12:30,12:31,-4.2,,,,,
21,434.7-435.5,9/02/2020 7:00,9/02/2020 18:10,9/02/2020 7:00,9/02/2020 18:10,1581231600,1581271800,1581251700,9/02/2020 12:35,12:35,,,,,,,
22,467.5-470.7,10/02/2020 7:40,10/02/2020 18:30,10/02/2020 7:40,10/02/2020 18:30,1581320400,1581359400,1581339900,10/02/2020 13:05,13:05,,,,,,,
23,537.5-540.7,10/02/2020 7:55,10/02/2020 17:25,10/02/2020 7:55,10/02/2020 17:25,1581321300,1581355500,1581338400,10/02/2020 12:40,12:40,12:39,-6.195833333,,,,,
24,570.1-570.7,10/02/2020 8:15,10/02/2020 16:10,10/02/2020 8:15,10/02/2020 16:10,1581322500,1581351000,1581336750,10/02/2020 12:12,12:12,,,,,,,
25,365.9-369.4,11/02/2020 7:25,11/02/2020 18:45,11/02/2020 7:25,11/02/2020 18:45,1581405900,1581446700,1581426300,11/02/2020 13:05,13:05,,,,,,,
26,437.7-441.3,11/02/2020 7:35,11/02/2020 18:30,11/02/2020 7:35,11/02/2020 18:30,1581406500,1581445800,1581426150,11/02/2020 13:02,13:02,13:03,-12.19166667,,,,,
27,464.8-473.9,11/02/2020 7:40,11/02/2020 18:25,11/02/2020 7:40,11/02/2020 18:25,1581406800,1581445500,1581426150,11/02/2020 13:02,13:02,,,,,,,
28,410.0-413.0,12/02/2020 7:25,12/02/2020 18:20,12/02/2020 7:25,12/02/2020 18:20,1581492300,1581531600,1581511950,12/02/2020 12:52,12:52,,,,,,,
29,439.6-443.6,12/02/2020 7:30,12/02/2020 18:10,12/02/2020 7:30,12/02/2020 18:10,1581492600,1581531000,1581511800,12/02/2020 12:50,12:50,12:49,-8.691666667,,,,,
30,506.9-508.8,12/02/2020 7:40,12/02/2020 17:55,12/02/2020 7:40,12/02/2020 17:55,1581493200,1581530100,1581511650,12/02/2020 12:47,12:47,,,,,,,
31,424.9-431.5,13/02/2020 7:55,13/02/2020 18:45,13/02/2020 7:55,13/02/2020 18:45,1581580500,1581619500,1581600000,13/02/2020 13:20,13:20,,,,,,,
32,500.8-509.2,13/02/2020 8:00,13/02/2020 18:10,13/02/2020 8:00,13/02/2020 18:10,1581580800,1581617400,1581599100,13/02/2020 13:05,13:05,13:14,-14.94583333,,,,,
33,556.0-560.1,13/02/2020 8:05,13/02/2020 18:30,13/02/2020 8:05,13/02/2020 18:30,1581581100,1581618600,1581599850,13/02/2020 13:17,13:17,,,,,,,
34,388.1-404.3,14/02/2020 7:20,14/02/2020 18:50,14/02/2020 7:20,14/02/2020 18:50,1581664800,1581706200,1581685500,14/02/2020 13:05,13:05,,,,,,,
35,437.5-448.8,14/02/2020 7:25,14/02/2020 18:45,14/02/2020 7:25,14/02/2020 18:45,1581665100,1581705900,1581685500,14/02/2020 13:05,13:05,13:05,-12.7,,,,,
36,501.2-504.1,14/02/2020 7:30,14/02/2020 18:40,14/02/2020 7:30,14/02/2020 18:40,1581665400,1581705600,1581685500,14/02/2020 13:05,13:05,,,,,,,
